"LIBRARYREFERENCE","FOOTPRINT1","A MAX","B","CHARGE","COMMENT","CURRENT","ID","MAX IF","MAX OUTPUT CURRENT","MAX VF","PACKAGE","PART NUMBER","PARTNUMBER","POWER","RES","RESISTANCE @ 25C","RON","TOLERANCE","TRIP VALUE","VALUE","VDS MAX","VDSS","VF","VGS","VOLTAGE","VOUTPUT MAX","WATT","SHEETPART","DESIGNATOR","DESCRIPTION"
"CAP ALU - 1010","CAP ALU - 1010","","","","CAP ALU - 1010","","","","","","1010","*","","","","","","?%","","?","","","","","?V","","","*","C?","CAP ALU - 1010"
"CAP ALU - 1616","CAP ALU - 1616","","","","CAP ALU - 1616","","","","","","1616","*","","","","","","?%","","?","","","","","?V","","","*","C?","CAP ALU - 1616"
"CAP ALU - 6_3mm","CAP ALU - 6.3mm DIA","","","","CAP ALU - 6.3mm","","","","","","6.3mm","*","","","","","","?%","","?","","","","","?V","","","*","C?","CAP ALU - 6.3mm"
"CAP TANT - 1206","CAP TAN - 1206","","","","CAP TANT - 1206","","","","","","1206","*","","","","","","","","?","","","","","?V","","","*","C?","CAP TANT - 1206"
"CAP TANT - 1411","CAP TAN - 1411","","","","CAP TANT - 1411","","","","","","1411","*","","","","","","","","?","","","","","?V","","","*","C?","CAP TANT - 1411"
"CAP TANT - 2312","CAP TAN - 2312","","","","CAP TANT - 2312","","","","","","2312","*","","","","","","","","?","","","","","?V","","","*","C?","CAP TANT - 2312"
"CAP TANT - 2917","CAP TAN - 2917","","","","CAP TANT - 2917","","","","","","2917","*","","","","","","","","?","","","","","?V","","","*","C?","CAP TANT - 2917"
"CAP_AC0402KRX7R8BB222?","CAP_0402","","","","CAP_AC0402KRX7R8BB222?","","","","","","0402","AC0402KRX7R8BB222?","","","","","","","","2200pF","","","","","25V","","","*","C?","CAP CER 2200PF 25V 0402"
"CAP_CC0805KRX7R9BB104?","CAP_0805","","","","CAP_CC0805KRX7R9BB104?","","","","","","0805","CC0805KRX7R9BB104?","","","","","","","","0.1uF","","","","","50V","","","*","C?","CAP CER 0.1uF 50V 0805"
"CAP_CL21B332KBANNNC?","CAP_0805","","","","CAP_CL21B332KBANNNC?","","","","","","0805","CL21B332KBANNNC?","","","","","","","","3300pF","","","","","50V","","","*","C?","CAP CER 3300pF 50V 0805"
"CAP_EEE-FK1V330P","CAP ALU - 6.3mm DIA","","","","CAP_EEE-FK1V330P","","","","","","6.30mm","EEE-FK1V330P","","","","","","20%","","33uF","","","","","35V","","","*","C?","CAP ALU 33µF 35V"
"CAP_GRT31CR61H106ME01L?","CAP_1206","","","","CAP_GRT31CR61H106ME01L?","","","","","","1206","GRT31CR61H106ME01L?","","","","","","","","10uF","","","","","50V","","","*","C?","CAP CER 10uF 50V 1206"
"CAP_UWT1E101MCL1GS","CAP ALU - 6.3mm DIA","","","","CAP_UWT1E101MCL1GS","","","","","","6.60mm x 6.60mm","UWT1E101MCL1GS","","","","","","20%","","100uF","","","","","25V","","","*","C?","CAP ALU 100µF 25V"
"CAP_UWT1E221MNL1GS","CAP UWT 8x10","","","","CAP_UWT1E221MNL1GS","","","","","","8.30mm x 8.30mm","UWT1E221MNL1GS","","","","","","20%","","220uF","","","","","25V","","","*","C?","CAP ALU 220µF 25V"
"CAP_?C3216JB1E336M160AC?","CAP_1206","","","","CAP_?C3216JB1E336M160AC?","","","","","","1206","C3216JB1E336M160AC?","","","","","","","","33uF","","","","","25V","","","*","C?","CAP CER 33uF 25V 1206"
"CAP_?CL05B103KA5NNNC?","CAP_0402","","","","CAP_?CL05B103KA5NNNC?","","","","","","0402","?CL05B103KA5NNNC?","","","","","","","","10000pF","","","","","25V","","","*","C?","CAP CER 10000pF 25V 0402"
"CAP_?CL10A105KA8NNNC?","CAP_0603","","","","CAP_?CL10A105KA8NNNC?","","","","","","0603","CL10A105KA8NNNC?","","","","","","","","1uF","","","","","25V","","","*","C?","CAP CER 1uF 25V 0603"
"CAP_?CL31A106KAHNFNE?","CAP_1206","","","","CAP_?CL31A106KAHNFNE?","","","","","","1206","CL31A106KAHNFNE?","","","","","","","","10uF","","","","","25V","","","*","C?","CAP CER 10uF 25V 1206"
"CAP_??CC0805KRX7R8BB104?","CAP_0805","","","","CAP_??CC0805KRX7R8BB104?","","","","","","0805","CC0805KRX7R8BB104?","","","","","","","","0.1uF","","","","","25V","","","*","C?","CAP CER 0.1uF 25V 0805"
